26 104
1 5 29
1 9 11
1 13 7
1 24 42
2 5 95
2 7 96
2 20 100
2 26 87
3 2 36
3 4 7
3 10 18
3 14 21
3 25 12
4 7 66
4 10 66
4 15 17
4 18 16
4 19 50
4 24 61
4 25 93
5 10 97
5 24 29
6 2 61
6 3 18
6 8 93
6 12 22
6 14 67
6 25 70
7 12 66
7 15 44
7 19 29
7 20 22
8 15 62
8 17 5
8 25 83
9 10 47
9 12 67
9 13 29
9 16 70
9 23 61
9 26 78
10 2 47
10 3 74
10 6 36
10 11 80
10 19 96
11 7 81
11 15 13
11 17 59
11 21 49
11 25 50
12 8 88
12 21 59
12 24 85
12 26 37
13 2 2
13 9 31
13 10 49
13 12 47
13 14 50
13 17 63
14 10 25
14 13 50
15 2 79
15 4 15
15 5 96
15 14 33
15 18 98
15 25 43
16 6 88
16 7 100
16 12 62
16 15 51
16 19 82
16 20 68
16 21 17
16 25 50
17 3 63
18 2 48
18 16 91
18 26 77
19 4 27
19 5 36
19 7 45
19 14 67
19 15 45
19 16 66
19 22 41
20 5 35
20 7 53
20 14 41
20 23 51
21 11 40
21 13 30
21 17 24
21 18 88
22 3 24
22 8 56
23 8 31
23 12 10
23 15 20
23 26 28
24 10 6
24 12 56
24 17 67
24 19 9
25 26 93
26 8 79
26 10 93
26 11 44
26 12 17
26 16 23
